"gene_id","cluster","in_apcluster","zscore","ap_q"
"AT1G20340","C27",TRUE,TRUE,0
"AT1G20430","C37",TRUE,TRUE,0
"AT1G20440","C13",TRUE,TRUE,0
"AT1G20450","C08",TRUE,TRUE,0
"AT1G20510","C49",TRUE,TRUE,0
"AT1G20560","C01",TRUE,TRUE,0
"AT1G20575","C03",TRUE,TRUE,0
"AT1G20580","C40",TRUE,TRUE,0
"AT1G20620","C35",TRUE,TRUE,0
"AT1G20630","C06",TRUE,TRUE,0
"AT1G20650","C19",TRUE,TRUE,0
"AT1G20780","C15",TRUE,TRUE,0
"AT1G20816","C23",TRUE,TRUE,0
"AT1G20900","C30",TRUE,TRUE,0
"AT1G21000","C06",TRUE,TRUE,0
"AT1G21050","C37",TRUE,TRUE,0
"AT1G21130","C22",TRUE,TRUE,0
"AT1G21250","C54",TRUE,TRUE,0
"AT1G21270","C53",TRUE,TRUE,0
"AT1G21310","C32",TRUE,TRUE,0
"AT1G21370","C53",TRUE,TRUE,0
"AT1G21380","C04",TRUE,TRUE,0
"AT1G21390","C14",TRUE,TRUE,0
"AT1G21400","C12",TRUE,TRUE,0
"AT1G21410","C02",TRUE,TRUE,0
"AT1G21440","C35",TRUE,TRUE,0
"AT1G21500","C23",TRUE,TRUE,0
"AT1G21520","C08",TRUE,TRUE,0
"AT1G21550","C30",TRUE,TRUE,0
"AT1G21560","C38",TRUE,TRUE,0
"AT1G21600","C19",TRUE,TRUE,0
"AT1G21750","C07",TRUE,TRUE,0
"AT1G21760","C14",TRUE,TRUE,0
"AT1G21770","C55",TRUE,TRUE,0
"AT1G21910","C20",TRUE,TRUE,0
"AT1G21930","C55",TRUE,TRUE,0
"AT1G22065","C32",TRUE,TRUE,0
"AT1G22270","C18",TRUE,TRUE,0
"AT1G22280","C15",TRUE,TRUE,0
"AT1G22330","C21",TRUE,TRUE,0
"AT1G22360","C44",TRUE,TRUE,0
"AT1G22400","C06",TRUE,TRUE,0
"AT1G22450","C38",TRUE,TRUE,0
"AT1G22470","C11",TRUE,TRUE,0
"AT1G22530","C11",TRUE,TRUE,0
"AT1G22590","C19",TRUE,TRUE,0
"AT1G22630","C23",TRUE,TRUE,0
"AT1G22780","C39",TRUE,TRUE,0
"AT1G22790","C43",TRUE,TRUE,0
"AT1G22850","C27",TRUE,TRUE,0
"AT1G22885","C24",TRUE,TRUE,0
"AT1G22890","C09",TRUE,TRUE,0
"AT1G22930","C13",TRUE,TRUE,0
"AT1G22970","C08",TRUE,TRUE,0
"AT1G22985","C14",TRUE,TRUE,0
"AT1G23040","C13",TRUE,TRUE,0
"AT1G23090","C35",TRUE,TRUE,0
"AT1G23100","C42",TRUE,TRUE,0
"AT1G23130","C12",TRUE,TRUE,0
"AT1G23140","C29",TRUE,TRUE,0
"AT1G23205","C35",TRUE,TRUE,0
"AT1G23220","C40",TRUE,TRUE,0
"AT1G23260","C17",TRUE,TRUE,0
"AT1G23290","C38",TRUE,TRUE,0
"AT1G23360","C19",TRUE,TRUE,0
"AT1G23380","C08",TRUE,TRUE,0
"AT1G23390","C55",TRUE,TRUE,0
"AT1G23400","C18",TRUE,TRUE,0
"AT1G23410","C32",TRUE,TRUE,0
"AT1G23490","C05",TRUE,TRUE,0
"AT1G23550","C05",TRUE,TRUE,0
"AT1G23720","C34",TRUE,TRUE,0
"AT1G23740","C22",TRUE,TRUE,0
"AT1G23750","C38",TRUE,TRUE,0
"AT1G23820","C34",TRUE,TRUE,0
"AT1G24020","C39",TRUE,TRUE,0
"AT1G24095","C13",TRUE,TRUE,0
"AT1G24100","C46",TRUE,TRUE,0
"AT1G24145","C54",TRUE,TRUE,0
"AT1G24147","C54",TRUE,TRUE,0
"AT1G24148","C37",TRUE,TRUE,0
"AT1G24160","C42",TRUE,TRUE,0
"AT1G24170","C13",TRUE,TRUE,0
"AT1G24240","C37",TRUE,TRUE,0
"AT1G24280","C21",TRUE,TRUE,0
"AT1G24440","C16",TRUE,TRUE,0
"AT1G24460","C10",TRUE,TRUE,0
"AT1G24490","C05",TRUE,TRUE,0
"AT1G24530","C19",TRUE,TRUE,0
"AT1G24575","C47",TRUE,TRUE,0
"AT1G24764","C40",TRUE,TRUE,0
"AT1G24880","C11",TRUE,TRUE,0
"AT1G24996","C09",TRUE,TRUE,0
"AT1G25083","C46",TRUE,TRUE,0
"AT1G25175","C09",TRUE,TRUE,0
"AT1G25211","C08",TRUE,TRUE,0
"AT1G25220","C46",TRUE,TRUE,0
"AT1G25275","C35",TRUE,TRUE,0
"AT1G25370","C14",TRUE,TRUE,0
"AT1G25440","C40",TRUE,TRUE,0
"AT1G25550","C38",TRUE,TRUE,0
"AT1G25560","C37",TRUE,TRUE,0
"AT1G26210","C19",TRUE,TRUE,0
"AT1G26218","C39",TRUE,TRUE,0
"AT1G26220","C18",TRUE,TRUE,0
"AT1G26340","C40",TRUE,TRUE,0
"AT1G26650","C41",TRUE,TRUE,0
"AT1G26670","C12",TRUE,TRUE,0
"AT1G26690","C15",TRUE,TRUE,0
"AT1G26740","C37",TRUE,TRUE,0
"AT1G26761","C39",TRUE,TRUE,0
"AT1G26770","C07",TRUE,TRUE,0
"AT1G26800","C11",TRUE,TRUE,0
"AT1G26830","C04",TRUE,TRUE,0
"AT1G26880","C38",TRUE,TRUE,0
"AT1G26910","C38",TRUE,TRUE,0
"AT1G26930","C44",TRUE,TRUE,0
"AT1G27000","C01",TRUE,TRUE,0
"AT1G27020","C35",TRUE,TRUE,0
"AT1G27050","C42",TRUE,TRUE,0
"AT1G27150","C11",TRUE,TRUE,0
"AT1G27320","C12",TRUE,TRUE,0
"AT1G27330","C54",TRUE,TRUE,0
"AT1G27390","C40",TRUE,TRUE,0
"AT1G27400","C39",TRUE,TRUE,0
"AT1G27435","C37",TRUE,TRUE,0
"AT1G27480","C25",TRUE,TRUE,0
"AT1G27730","C44",TRUE,TRUE,0
"AT1G27760","C01",TRUE,TRUE,0
"AT1G27950","C28",TRUE,TRUE,0
"AT1G27970","C13",TRUE,TRUE,0
"AT1G28050","C44",TRUE,TRUE,0
"AT1G28190","C44",TRUE,TRUE,0
"AT1G28200","C13",TRUE,TRUE,0
"AT1G28290","C36",TRUE,TRUE,0
"AT1G28370","C38",TRUE,TRUE,0
"AT1G28395","C18",TRUE,TRUE,0
"AT1G28400","C40",TRUE,TRUE,0
"AT1G28420","C02",TRUE,TRUE,0
"AT1G28480","C15",TRUE,TRUE,0
"AT1G28600","C06",TRUE,TRUE,0
"AT1G28610","C17",TRUE,TRUE,0
"AT1G28660","C29",TRUE,TRUE,0
"AT1G28670","C24",TRUE,TRUE,0
"AT1G28960","C02",TRUE,TRUE,0
"AT1G29060","C12",TRUE,TRUE,0
"AT1G29070","C27",TRUE,TRUE,0
"AT1G29150","C04",TRUE,TRUE,0
"AT1G29160","C01",TRUE,TRUE,0
"AT1G29195","C01",TRUE,TRUE,0
"AT1G29240","C52",TRUE,TRUE,0
"AT1G29250","C39",TRUE,TRUE,0
"AT1G29280","C32",TRUE,TRUE,0
"AT1G29300","C14",TRUE,TRUE,0
"AT1G29310","C12",TRUE,TRUE,0
"AT1G29330","C01",TRUE,TRUE,0
"AT1G29357","C12",TRUE,TRUE,0
"AT1G29395","C07",TRUE,TRUE,0
"AT1G29418","C40",TRUE,TRUE,0
"AT1G29530","C41",TRUE,TRUE,0
"AT1G29535","C26",TRUE,TRUE,0
"AT1G29550","C43",TRUE,TRUE,0
"AT1G29640","C15",TRUE,TRUE,0
"AT1G29670","C20",TRUE,TRUE,0
"AT1G29785","C21",TRUE,TRUE,0
"AT1G29800","C04",TRUE,TRUE,0
"AT1G29850","C13",TRUE,TRUE,0
"AT1G29900","C42",TRUE,TRUE,0
"AT1G29910","C55",TRUE,TRUE,0
"AT1G29930","C55",TRUE,TRUE,0
"AT1G29960","C23",TRUE,TRUE,0
"AT1G29965","C41",TRUE,TRUE,0
"AT1G29980","C39",TRUE,TRUE,0
"AT1G30070","C12",TRUE,TRUE,0
"AT1G30090","C13",TRUE,TRUE,0
"AT1G30110","C36",TRUE,TRUE,0
"AT1G30135","C44",TRUE,TRUE,0
"AT1G30210","C18",TRUE,TRUE,0
"AT1G30230","C37",TRUE,TRUE,0
"AT1G30260","C54",TRUE,TRUE,0
"AT1G30320","C14",TRUE,TRUE,0
"AT1G30400","C01",TRUE,TRUE,0
"AT1G30475","C05",TRUE,TRUE,0
"AT1G30510","C38",TRUE,TRUE,0
"AT1G30520","C23",TRUE,TRUE,0
"AT1G30590","C40",TRUE,TRUE,0
"AT1G30690","C29",TRUE,TRUE,0
"AT1G30820","C01",TRUE,TRUE,0
"AT1G30870","C32",TRUE,TRUE,0
"AT1G30990","C51",TRUE,TRUE,0
"AT1G31330","C27",TRUE,TRUE,0
"AT1G31335","C20",TRUE,TRUE,0
"AT1G31350","C10",TRUE,TRUE,0
"AT1G31550","C44",TRUE,TRUE,0
"AT1G31580","C54",TRUE,TRUE,0
"AT1G31817","C40",TRUE,TRUE,0
"AT1G31835","C39",TRUE,TRUE,0
"AT1G31860","C41",TRUE,TRUE,0
